,CUSTOMER,Parameter.BondType,Parameter.Group,Parameter.No,Parameter.No_1,WIRE_SIZE,Parameter.Max,Parameter.Min,Parameter.Value,MEANX,PRED
139,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.064872182354684
140,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.11622275474769
141,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.015366662067393
142,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.064872182354684
143,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.070368158845643
144,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.11622275474769
145,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.015366662067393
146,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.064872182354684
147,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.070368158845643
148,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.11622275474769
149,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.015366662067393
150,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.064872182354684
151,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.070368158845643
152,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.070368158845643
153,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.11622275474769
154,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.015366662067393
155,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.064872182354684
156,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.070368158845643
157,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.11622275474769
158,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.015366662067393
159,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.064872182354684
160,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,22.108,22.951834592693974
161,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,22.108,22.951834592693974
162,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,22.108,22.951834592693974
163,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,22.108,22.951834592693974
164,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,22.108,22.951834592693974
165,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,22.951834592693974
166,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,22.951834592693974
167,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,25.09,22.951834592693974
168,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,25.09,22.951834592693974
169,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,25.09,22.951834592693974
170,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,25.09,22.951834592693974
171,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,22.108,22.951834592693974
172,STM,BSOB Wire,3003,6,Release,0.6 MIL GMG TYPE,0,0,0,22.108,22.951834592693974
